Geography,County,State,Type
Philadelphia,Philadelphia County,Pennsylvania,Place
Pittsburgh,Allegheny County,Pennsylvania,Place
New York,Kings County,New York,Place
New York,Queens County,New York,Place
New York,New York County,New York,Place
New York,Bronx County,New York,Place
New York,Richmond County,New York,Place
Baltimore,Baltimore City,Maryland,Place
Los Angeles,Los Angeles County,California,Place
Chicago,Cook County,Illinois,Place
Houston ,Harris County,Texas,Place
Phoenix,Maricopa County,Arizona,Place
San Antonio,Bexar County,Texas,Place
San Diego,San Diego County,California,Place
Dallas,Dallas County,Texas,Place
Austin,Travis County,Texas,Place
San Jose,Santa Clara County,California,Place
Fort Worth,Tarrant County,Texas,Place
Jacksonville,Duval County,Florida,Place
Charlotte,Mecklenburg County,North Carolina,Place
Columbus,Franklin County,Ohio,Place
Indianapolis city (balance),Marion County,Indiana,Place
San Francisco,San Francisco County,California,Place
Seattle,King County,Washington,Place
Denver,Denver County,Colorado,Place
Washington,District of Columbia,District of Columbia,Place
Boston,Suffolk County,Massachusetts,Place
El Paso,El Paso County,Texas,Place
Nashville-Davidson metropolitan government (balance),Davidson County,Tennessee,Place
Oklahoma City,Oklahoma County,Oklahoma,Place
Las Vegas,Clark County,Nevada,Place
Portland,Multnomah County,Oregon,Place
Detroit,Wayne County,Michigan,Place
Memphis,Shelby County,Tennessee,Place
Louisville,Jefferson County,Kentucky,Place
Milwaukee,Milwaukee County,Wisconsin,Place
Albuquerque,Bernalillo County,New Mexico,Place
Tucson,Pima County,Arizona,Place
Mesa,Maricopa County,Arizona,Place
Fresno,Fresno County,California,Place
Atlanta,Fulton County,Georgia,Place
Sacramento,Sacramento County,California,Place
Kansas City,Jackson County,Missouri,Place
Colorado Springs,El Paso County,Colorado,Place
Raleigh,Wake County,North Carolina,Place
Miami,Miami-Dade County,Florida,Place
Omaha,Douglas County,Nebraska,Place
Long Beach,Los Angeles County,California,Place
Virginia Beach,Virginia Beach,Virginia,Place
Oakland,Alameda County,California,Place
Minneapolis,Hennepin County,Minnesota,Place
Tampa ,Hillsborough County,Florida,Place
Tulsa,Tulsa County,Oklahoma,Place
Arlington,Tarrant County,Texas,Place
Aurora,Adams County,Colorado,Place
Aurora,Arapahoe County,Colorado,Place
Aurora,Denver County,Colorado,Place
Aurora,Douglas County,Colorado,Place
Aurora,Elbert County,Colorado,Place
